Payment Number,Payment Number Prefix,Payment Number Suffix,VendorPayment ID,Date,Vendor Name,Location ID,Location Name,Mode,Description,Exchange Rate,Currency Code,Amount,Paid Through,Reference Number,PIPayment ID,Bill Date,Bill Number,Bill Amount,Payment Status,Bank Charges
92,,92,5623409000001893263,2026-03-27,josstru75,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,32.500,Petty Cash,,5623409000001893272,2026-03-27,16-14369-75432,32.500,Paid,0.000
93,,93,5623409000001893346,2026-03-27,flatearth,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,166.980,Petty Cash,,5623409000001893355,2026-03-27,20-14359-97963,166.980,Paid,0.000
94,,94,5623409000001893436,2026-03-27,agsells000,5623409000000090078,Head Office,Cash,,1.000000000000,USD,76.730,Petty Cash,,5623409000001893445,2026-03-27,17-14360-41052,76.730,Paid,0.000
95,,95,5623409000001893526,2026-03-27,speedt_87,5623409000000090078,Head Office,Cash,,1.000000000000,USD,74.190,Petty Cash,,5623409000001893535,2026-03-26,02-14398-36919,74.190,Paid,0.000
96,,96,5623409000001893636,2026-03-27,qmisterq,5623409000000090078,Head Office,Cash,,1.000000000000,USD,52.510,Petty Cash,,5623409000001893645,2026-03-26,14-14368-43416,52.510,Paid,0.000
97,,97,5623409000001893746,2026-03-27,5teeeve,5623409000000090078,Head Office,Cash,,1.000000000000,USD,73.250,Petty Cash,,5623409000001893755,2026-03-27,18-14370-59292,73.250,Paid,0.000
98,,98,5623409000001893902,2026-03-27,shoeflypdx,5623409000000090078,Head Office,Cash,,1.000000000000,USD,79.980,Petty Cash,,5623409000001893911,2026-03-27,23-14363-33447,79.980,Paid,0.000
99,,99,5623409000001899023,2026-03-27,thedealdepotco,5623409000000090078,Head Office,Cash,,1.000000000000,USD,76.640,Petty Cash,,5623409000001899032,2026-03-27,01-14394-16382,76.640,Paid,0.000
100,,100,5623409000001899159,2026-03-27,sebastion12012,5623409000000090078,Head Office,Cash,,1.000000000000,USD,450.000,Petty Cash,,5623409000001899168,2026-03-27,11-14380-56357,450.000,Paid,0.000
101,,101,5623409000001899281,2026-03-27,texasangler,5623409000000090078,Head Office,Cash,,1.000000000000,USD,60.500,Petty Cash,,5623409000001899290,2026-03-27,02-14382-03057,60.500,Paid,0.000
102,,102,5623409000001899391,2026-03-27,s-mart2686,5623409000000090078,Head Office,Cash,,1.000000000000,USD,79.000,Petty Cash,,5623409000001899400,2026-03-27,01-14383-78627,79.000,Paid,0.000
103,,103,5623409000001899501,2026-03-27,jerbak7,5623409000000090078,Head Office,Cash,,1.000000000000,USD,82.950,Petty Cash,,5623409000001899510,2026-03-27,10-14370-00444,82.950,Paid,0.000
104,,104,5623409000001899611,2026-03-27,lestesokol,5623409000000090078,Head Office,Cash,,1.000000000000,USD,83.290,Petty Cash,,5623409000001899620,2026-03-27,11-14375-95961,83.290,Paid,0.000
105,,105,5623409000001899721,2026-03-27,romo-resellers,5623409000000090078,Head Office,Cash,,1.000000000000,USD,379.380,Petty Cash,,5623409000001899730,2026-03-27,26-14356-27669,379.380,Paid,0.000
106,,106,5623409000001899831,2026-03-27,tech-world43228,5623409000000090078,Head Office,Cash,,1.000000000000,USD,111.990,Petty Cash,,5623409000001899840,2026-03-27,10-14382-00811,111.990,Paid,0.000
107,,107,5623409000001899953,2026-03-27,flatearth,5623409000000090078,Head Office,Cash,,1.000000000000,USD,210.000,Petty Cash,,5623409000001899962,2026-03-27,07-14378-88245,210.000,Paid,0.000
108,,108,5623409000001900073,2026-03-27,tech-world43228,5623409000000090078,Head Office,Cash,,1.000000000000,USD,58.000,Petty Cash,,5623409000001900082,2026-03-27,10-14382-76415,58.000,Paid,0.000
109,,109,5623409000001900164,2026-03-27,himax346,5623409000000090078,Head Office,Cash,,1.000000000000,USD,84.920,Petty Cash,,5623409000001900173,2026-03-27,18-14374-98642,84.920,Paid,0.000
110,,110,5623409000001900272,2026-03-27,tallyoungbloo0,5623409000000090078,Head Office,Cash,,1.000000000000,USD,175.000,Petty Cash,,5623409000001900281,2026-03-27,06-14385-72372,175.000,Paid,0.000
111,,111,5623409000001900386,2026-03-27,kwmstuf,5623409000000090078,Head Office,Cash,,1.000000000000,USD,62.000,Petty Cash,,5623409000001900395,2026-03-27,20-14372-03452,62.000,Paid,0.000
112,,112,5623409000001900467,2026-03-27,medmart,5623409000000090078,Head Office,Cash,,1.000000000000,USD,62.990,Petty Cash,,5623409000001900476,2026-03-27,10-14381-92616,62.990,Paid,0.000
113,,113,5623409000001900542,2026-03-27,mickster62,5623409000000090078,Head Office,Cash,,1.000000000000,USD,84.090,Petty Cash,,5623409000001900551,2026-03-27,13-14384-06740,84.090,Paid,0.000
114,,114,5623409000001904053,2026-03-10,equil.hecto,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,439.100,Petty Cash,,5623409000001904062,2026-03-10,12-14344-74041,439.100,Paid,0.000
115,,115,5623409000001904181,2026-03-27,bhairavi31,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,450.000,Petty Cash,,5623409000001904190,2026-03-27,18-14367-87717,450.000,Paid,0.000
116,,116,5623409000001904268,2026-03-27,bel-5205,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,400.080,Petty Cash,,5623409000001904277,2026-03-27,08-14377-40806,400.080,Paid,0.000
117,,117,5623409000001904402,2026-03-27,realvintage831,5623409000000090078,Head Office,Cash,,1.000000000000,USD,156.290,Petty Cash,,5623409000001904411,2026-03-27,15-14367-17909,156.290,Paid,0.000
118,,118,5623409000001904524,2026-03-14,rucian0,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,171.000,Petty Cash,,5623409000001904533,2026-03-16,04-14382-75846,171.000,Paid,0.000
119,,119,5623409000001904658,2026-03-16,2lose1,5623409000000090078,Head Office,Cash,,1.000000000000,USD,424.700,Petty Cash,,5623409000001904667,2026-03-16,14-14367-16893,424.700,Paid,0.000
120,,120,5623409000001904812,2026-03-16,rentto-0,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,508.000,Petty Cash,,5623409000001904821,2026-03-16,21-14366-23757,508.000,Paid,0.000
121,,121,5623409000001913056,2026-03-28,misscaro1975-8,5623409000000090078,Head Office,Cash,,1.000000000000,USD,412.200,Petty Cash,,5623409000001913065,2026-03-05,13-14318-99085,412.200,Paid,0.000
122,,122,5623409000001913178,2026-03-06,slot_4105,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,56.710,Petty Cash,,5623409000001913187,2026-03-06,16-14314-27157,56.710,Paid,0.000
123,,123,5623409000001913286,2026-03-06,jroc8076,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,79.990,Petty Cash,,5623409000001913295,2026-03-06,03-14337-78390,79.990,Paid,0.000
124,,124,5623409000001913394,2026-03-05,gm_martinezsa,5623409000000090078,Head Office,Cash,,1.000000000000,USD,72.950,Petty Cash,,5623409000001913403,2026-03-05,22-14305-65760,72.950,Paid,0.000
125,,125,5623409000001913506,2026-03-05,doctorjtd,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,70.000,Petty Cash,,5623409000001913515,2026-03-05,16-14316-15861,70.000,Paid,0.000
126,,126,5623409000001913628,2026-03-04,35chevymaster,5623409000000090078,Head Office,Cash,,1.000000000000,USD,389.080,Petty Cash,,5623409000001913637,2026-03-04,10-14320-53099,389.080,Paid,0.000
127,,127,5623409000001925269,2026-03-05,mormontgoods,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,47.970,Petty Cash,,5623409000001925278,2026-03-05,26-14300-39327,47.970,Paid,0.000
128,,128,5623409000001933136,2026-03-02,Goodwill,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,53.970,Petty Cash,,5623409000001933145,2026-03-02,60911039,53.970,Paid,0.000
129,,129,5623409000001933294,2026-03-04,thetechterminal,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,43.200,Petty Cash,,5623409000001933303,2026-03-04,21-14302-57011,43.200,Paid,0.000
130,,130,5623409000001933404,2026-03-05,fusle07,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,59.850,Petty Cash,,5623409000001933413,2026-03-05,14-14318-18086,59.850,Paid,0.000
131,,131,5623409000001933527,2026-03-09,saundersvintage,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,80.000,Petty Cash,,5623409000001933536,2026-03-09,09-14340-57740,80.000,Paid,0.000
132,,132,5623409000001933648,2026-03-09,almightylexus,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,147.010,Petty Cash,,5623409000001933657,2026-03-09,18-14330-56774,147.010,Paid,0.000
133,,133,5623409000001933756,2026-03-09,illbe66,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,56.000,Petty Cash,,5623409000001933765,2026-03-09,08-14343-82347,56.000,Paid,0.000
134,,134,5623409000001933864,2026-03-09,la-40056545,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,83.830,Petty Cash,,5623409000001933873,2026-03-09,14-14335-43811,83.830,Paid,0.000
135,,135,5623409000001933986,2026-03-04,monte970970,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,376.790,Petty Cash,,5623409000001933995,2026-03-04,08-14321-33291,376.790,Paid,0.000
136,,136,5623409000001942132,2026-03-09,ez-tech2,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,160.710,Petty Cash,,5623409000001942141,2026-03-09,07-14346-45384,160.710,Paid,0.000
137,,137,5623409000001942264,2026-03-08,paymore_sand_lake,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,59.990,Petty Cash,,5623409000001942273,2026-03-08,10-14337-25092,59.990,Paid,0.000
138,,138,5623409000001942385,2026-03-09,ratnay89,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,73.240,Petty Cash,,5623409000001942394,2026-03-09,13-14340-08780,73.240,Paid,0.000
139,,139,5623409000001942495,2026-03-08,haner_sales,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,47.560,Petty Cash,,5623409000001942504,2026-03-08,21-14322-86859,47.560,Paid,0.000
140,,140,5623409000001942617,2026-03-09,saltcitysecondhand,5623409000000090078,Head Office,Cash,,1.000000000000,USD,164.950,Petty Cash,,5623409000001942626,2026-03-09,26-14319-00092,164.950,Paid,0.000
141,,141,5623409000001942739,2026-03-10,themidwestexchanger,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,96.260,Petty Cash,,5623409000001942748,2026-03-10,24-14340-19044,96.260,Paid,0.000
142,,142,5623409000001942849,2026-03-17,PC Micro Store,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,61.350,Petty Cash,,5623409000001942858,2026-03-17,113-2908724-1694637,61.350,Paid,0.000
