Item Name,SKU,Sales Description,Selling Price,Is Returnable Item,Brand,Manufacturer,UPC,EAN,ISBN,Part Number,Product Type,Sales Account,Unit,Purchase Description,Purchase Price,Item Type,Purchase Account,Inventory Account,Reorder Level,Preferred Vendor,Opening Stock,Opening Stock Value,Package Weight,Package Length,Package Width,Package Height,Weight unit,Dimension unit,Warehouse Name
Bose Wave Radio II,00017,Bose Wave Radio II,,False,,,,,,,goods,Sales,pcs,Bose Wave Radio II,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Wave Radio II Platinum White,00017-PL,Bose Wave Radio II Platinum White,,False,,,,,,,goods,Sales,pcs,Bose Wave Radio II Platinum White,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Wave Radio II - Processor PCB,00017-P-1,Bose Wave Radio II - Processor PCB,,False,,,,,,,goods,Sales,pcs,Bose Wave Radio II - Processor PCB,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Wave Radio and CD Player AWRC-1P,00018,Bose Wave Radio and CD Player AWRC-1P,,False,,,,,,,goods,Sales,pcs,Bose Wave Radio and CD Player AWRC-1P,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Wave Radio and CD Player AWRC-1P White,00018-WH,Bose Wave Radio and CD Player AWRC-1P White,,False,,,,,,,goods,Sales,pcs,Bose Wave Radio and CD Player AWRC-1P White,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Wave Radio and CD Player AWRC-1P - Top Cover White,00018-P-1-WH,Bose Wave Radio and CD Player AWRC-1P - Top Cover White,,False,,,,,,,goods,Sales,pcs,Bose Wave Radio and CD Player AWRC-1P - Top Cover White,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Wave Radio and CD Player AWRC-1P - Remote Control White,00018-P-2-WH,Bose Wave Radio and CD Player AWRC-1P - Remote Control White,,False,,,,,,,goods,Sales,pcs,Bose Wave Radio and CD Player AWRC-1P - Remote Control White,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Link AL8 Wireless Audio Link,00019,Bose Link AL8 Wireless Audio Link,,False,,,,,,,goods,Sales,pcs,Bose Link AL8 Wireless Audio Link,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose CineMate Digital 2.1 Channel Home Theater Speaker System,00020,Bose CineMate Digital 2.1 Channel Home Theater Speaker System,,False,,,,,,,goods,Sales,pcs,Bose CineMate Digital 2.1 Channel Home Theater Speaker System,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose CineMate Digital 2.1 Channel Home Theater Speaker System New,00020-N,Bose CineMate Digital 2.1 Channel Home Theater Speaker System New,,False,,,,,,,goods,Sales,pcs,Bose CineMate Digital 2.1 Channel Home Theater Speaker System New,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
"Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Remote Control for 120, 130, 520",00020-P-1,"Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Remote Control for 120, 130, 520",,False,,,,,,,goods,Sales,pcs,"Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Remote Control for 120, 130, 520",,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Manual Used,00020-P-2-U,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Manual Used,,False,,,,,,,goods,Sales,pcs,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Manual Used,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose CineMate Digital 2.1 Channel Home Theater Speaker System - LCD Screen Soundtouch 520/130/220/120,00020-P-3,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - LCD Screen Soundtouch 520/130/220/120,,False,,,,,,,goods,Sales,pcs,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - LCD Screen Soundtouch 520/130/220/120,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose CineMate Digital 2.1 Channel Home Theater Speaker System - LCD Display Soundtouch 520/130/220/120,00020-P-4,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - LCD Display Soundtouch 520/130/220/120,,False,,,,,,,goods,Sales,pcs,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - LCD Display Soundtouch 520/130/220/120,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Interface Module,00020-P-5,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Interface Module,,False,,,,,,,goods,Sales,pcs,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Interface Module,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Speaker Cover Grill,00020-P-6,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Speaker Cover Grill,,False,,,,,,,goods,Sales,pcs,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Speaker Cover Grill,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Acoustimass 10 Series IV Home Entertainment Speaker System,00021,Bose Acoustimass 10 Series IV Home Entertainment Speaker System,,False,,,,,,,goods,Sales,pcs,Bose Acoustimass 10 Series IV Home Entertainment Speaker System,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Acoustimass 10 Series IV Home Entertainment Speaker System Black,00021-BK,Bose Acoustimass 10 Series IV Home Entertainment Speaker System Black,,False,,,,,,,goods,Sales,pcs,Bose Acoustimass 10 Series IV Home Entertainment Speaker System Black,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Acoustimass 10 Series IV Home Entertainment Speaker System - Subwoofer Black,00021-P-1-BK,Bose Acoustimass 10 Series IV Home Entertainment Speaker System - Subwoofer Black,,False,,,,,,,goods,Sales,pcs,Bose Acoustimass 10 Series IV Home Entertainment Speaker System - Subwoofer Black,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Companion 3 Series II Multimedia Speaker System,00022,Bose Companion 3 Series II Multimedia Speaker System,,False,,,,,,,goods,Sales,pcs,Bose Companion 3 Series II Multimedia Speaker System,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
