"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All amounts in USD, unless specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date/time: posted date/time of the transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling fees: Includes variable closing fees and referral fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Reports with start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total,Transaction Status,Transaction Release Date
"Apr 20, 2026 1:06:47 AM PDT",26158739451,Shipping Services,112-1115361-4525034,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.52,-5.52,Released,"Apr 20, 2026 1:06:47 AM PDT"
"Apr 20, 2026 1:06:47 AM PDT",26158739451,Shipping Services,111-8808037-7401864,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.62,-73.62,Released,"Apr 20, 2026 1:06:47 AM PDT"
"Apr 20, 2026 1:06:50 AM PDT",26158739451,Shipping Services,112-6849058-6113016,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.14,-37.14,Released,"Apr 20, 2026 1:06:50 AM PDT"
"Apr 20, 2026 1:06:53 AM PDT",26293156651,Order,112-6849058-6113016,04757-Bk-2,"2 Pack 251 Outdoor Environmental Speakers (Pair), Black with H&A 16 AWG Speaker Wire 100'",1,amazon.com,Standard Orders,Seller,LOS BANOS,CA,93635,MarketplaceFacilitator,"1,398.00",122.33,235.5,20.61,0,0,0,0,0,0,-142.94,-130.68,0,-0.1,0,"1,502.72",Released,"Apr 30, 2026 7:37:53 AM PDT"
"Apr 20, 2026 1:49:50 AM PDT",26293156651,Order,113-5130777-3487466,GR-FP24-EGQ9,USAV Bluetooth Adapter for Bose Wave Music System IV/Wave Radio IV,1,amazon.com,Standard Orders,Seller,SAN CARLOS,CA,94070,MarketplaceFacilitator,27.88,2.61,0,0,0,0,0,0,0,0,-2.61,-4.18,0,-0.1,0,23.6,Released,"Apr 30, 2026 8:34:14 PM PDT"
"Apr 20, 2026 1:50:00 AM PDT",26293156651,Order,111-4756190-0861868,MI-AD2N-SK2Y,Wave Music System III Remote - Graphite Gray,1,amazon.com,Standard Orders,Seller,NEW ORLEANS,LA,70114,MarketplaceFacilitator,25.88,2.59,0,0,0,0,0,0,0,0,-2.59,-3.88,0,-0.1,0,21.9,Released,"May 3, 2026 5:17:46 AM PDT"
"Apr 20, 2026 1:50:00 AM PDT",26293156651,Order,111-8685934-7420227,4R-Y7BV-5IPX,Bose Lifestyle 30 ' Long Acoustimass Audio Input Cable 9 pin Male Media Center Cable,1,amazon.com,Standard Orders,Seller,LAREDO,TX,78045,MarketplaceFacilitator,48.88,4.03,5.87,0.48,0,0,0,0,0,0,-4.51,-8.21,0,-0.1,0,46.44,Released,"May 2, 2026 12:15:24 AM PDT"
"Apr 20, 2026 1:50:03 AM PDT",26293156651,Order,112-6477148-4645048,86-977J-78GA,USAV Bluetooth Adapter for Bose Wave Music System (USAV Bluetooth Adapter for Bose Wave Music System Only),1,amazon.com,Standard Orders,Seller,SIMI VALLEY,CA,93065,MarketplaceFacilitator,27.88,2.02,0,0,0,0,0,0,0,0,-2.02,-4.18,0,-0.1,0,23.6,Released,"Apr 29, 2026 5:09:56 PM PDT"
"Apr 20, 2026 1:50:03 AM PDT",26158739451,Shipping Services,113-5543880-8453034,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.45,-5.45,Released,"Apr 20, 2026 1:50:03 AM PDT"
"Apr 20, 2026 1:50:03 AM PDT",26158739451,Shipping Services,111-4756190-0861868,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.29,-5.29,Released,"Apr 20, 2026 1:50:03 AM PDT"
"Apr 20, 2026 1:50:03 AM PDT",26158739451,Shipping Services,113-9622089-8836239,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.24,-6.24,Released,"Apr 20, 2026 1:50:03 AM PDT"
"Apr 20, 2026 1:50:03 AM PDT",26158739451,Shipping Services,113-5130777-3487466,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,Released,"Apr 20, 2026 1:50:03 AM PDT"
"Apr 20, 2026 1:50:03 AM PDT",26158739451,Shipping Services,112-6477148-4645048,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.85,-4.85,Released,"Apr 20, 2026 1:50:03 AM PDT"
"Apr 20, 2026 1:50:03 AM PDT",26158739451,Shipping Services,112-0854869-2157826,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.22,-7.22,Released,"Apr 20, 2026 1:50:03 AM PDT"
"Apr 20, 2026 1:50:03 AM PDT",26158739451,Shipping Services,113-9020748-7894641,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.52,-5.52,Released,"Apr 20, 2026 1:50:03 AM PDT"
"Apr 20, 2026 1:50:03 AM PDT",26158739451,Shipping Services,111-1455935-0253011,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.39,-5.39,Released,"Apr 20, 2026 1:50:03 AM PDT"
"Apr 20, 2026 1:50:03 AM PDT",26158739451,Shipping Services,111-8685934-7420227,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.03,-7.03,Released,"Apr 20, 2026 1:50:03 AM PDT"
