variant_full_sku,variant_name,platform,external_ref_id,listed_name
00031-P-1-WH,Bose Wave Music System - Multi-CD Changer White,AMAZON,B000C4ATGY,"Bose Wave Music System Multi-CD Changer, Platinum White"
00031-P-1-WH,Bose Wave Music System - Multi-CD Changer White,EBAY_MEKONG,157213238067,Bose Wave Music System Multi-CD Changer Accessory 3 Disc - White ( SET 5)
00031-P-1-WH,Bose Wave Music System - Multi-CD Changer White,EBAY_DRAGON,266089918955,"Bose Wave Music System AWRCC2 Multi-CD Changer, Platinum White"
00031-P-1-WH,Bose Wave Music System - Multi-CD Changer White,ECWID,00977-W,"Bose Wave Music System Multi-CD Changer, Platinum White"
00031-P-10,Bose Wave Music System - LCD Display Screen,EBAY_MEKONG,154532110179,Bose Wave Music system AWRCC1 AWRCC2 LCD Display Screen Replacement Part
00031-P-10,Bose Wave Music System - LCD Display Screen,EBAY_USAV,363546994120,Bose Wave Music system AWRCC1 AWRCC2 LCD Display Screen Replacement Part
00031-P-10,Bose Wave Music System - LCD Display Screen,ECWID,01768,Bose Wave Music system AWRCC1 AWRCC2 LCD Display Screen Replacement Part
00031-P-11,Bose Wave Music System - Update Disk,EBAY_USAV,364814726694,Bose Wave Soundlink Adapter UPDATE DISK for Bose Wave Music System AWRCC1 AWRCC2
00031-P-12,Bose Wave Music System - Integrated Touchpad Control,EBAY_MEKONG,154763854639,Integrated Touchpad Control for Bose Wave music system II III - Wave radio II
00031-P-12,Bose Wave Music System - Integrated Touchpad Control,EBAY_USAV,363665248296,Integrated Touchpad Control  for Bose Wave music system or Bose Wave radio II
00031-P-12,Bose Wave Music System - Integrated Touchpad Control,ECWID,01207,Integrated Touchpad Control for Bose Wave music system II III - Wave radio II
00031-P-12-WH,Bose Wave Music System - Integrated Touchpad Control White,ECWID,01625,Integrated Touchpad Control for Bose Wave music system II III - Wave radio II White
00031-P-13,Bose Wave Music System - Power Cord,ECWID,00169,Power Cord For Bose Wave Music System
00031-P-13-N,Bose Wave Music System - Power Cord New,EBAY_USAV,362752735518,Power Cord For Bose Wave Music System - New - FREE SHIPPING
00031-P-14,Bose Wave Music System - CD drive,EBAY_MEKONG,157903041818,BOSE Wave AWRCC1 & 2  CD Drive w/ Ribbon Cables & Rubber Feet Tested Working
00031-P-14,Bose Wave Music System - CD drive,EBAY_DRAGON,267453991758,Replacement CD drive for Bose Music Wave System 269866-01
00031-P-14,Bose Wave Music System - CD drive,ECWID,01029,Replacement CD drive for Bose Music Wave System 269866-01
00031-P-15,Bose Wave Music System - Ribbon Cable,AMAZON,B0DWCG9353,USAV Solutions Replacement Ribbon Cable for Wave Music System Compatible with AWRCC1 AWRCC2
