po_id,po_number,order_date,received_status,billed_status,extracted_received_date,notes,terms
5623409000001828460,01-14400-14096,2026-03-19,to_be_received,to_be_billed,2026-03-26,"KAI 3/26 Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: ZOHO_IMPORT
Tracking: Awaiting shipment
Source: EBAY_PURCHASING_API
Tracking: 9434608106244951453370
BOSE Companion 2 Series III Multimedia Speaker System Computer Speakers WORKING: https://www.ebay.com/itm/318027474676",
5623409000001829728,06-14389-45433,2026-03-18,to_be_received,to_be_billed,2026-03-25,"KAI 3/25 Imported via eBay GetOrders (Buyer) (ebay_mekong).
Source: EBAY_BUYING_API
Tracking: 9434608106244931495925
Item Links:
- Bose Soundbar 500 TV Speaker - Black (838309-1100): https://www.ebay.com/itm/366264069849
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API",
5623409000001824311,20-14368-65673,2026-03-18,to_be_received,to_be_billed,2026-03-26,"KAI 3/26 Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: ZOHO_IMPORT
Tracking: 1225494102990187
Source: EBAY_PURCHASING_API
Bose Companion 2 Series III Multimedia PC Black Speakers - NO Power Adapter EUC: https://www.ebay.com/itm/257365481033",
5623409000001824202,02-14394-80890,2026-03-18,to_be_received,to_be_billed,2026-03-24,"KAI 3/24 12:11 https://www.ebay.com/itm/177964111926
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 1Z78Y5W70394305119
Bose Solo TV Sound System Soundbar - Model: 418775 - Free Shipping.: https://www.ebay.com/itm/177964111926",
5623409000001824107,10-14382-76415,2026-03-18,to_be_received,to_be_billed,,"Imported via eBay GetOrders (Buyer) (ebay_mekong).
Source: EBAY_BUYING_API
Tracking: 1Z78Y5W70393482724
Item Links:
- Bose VCS-10 Center Channel Speaker - Free shipping: https://www.ebay.com/itm/406716784133
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API",
5623409000001824004,07-14387-42477,2026-03-18,to_be_received,to_be_billed,2026-03-24,"KAI 3/24 11:50
https://www.ebay.com/itm/177780717137
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 1Z78Y5W70393482724
Bose VCS-10 Center Channel Speaker - Free shipping: https://www.ebay.com/itm/177780717137",
5623409000001815909,02-14394-78963,2026-03-18,to_be_received,to_be_billed,2026-03-24,"KAI 3/24 12:13
https://www.ebay.com/itm/157737256520
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 1Z78Y5W70394305119
Bose Solo TV Sound System Soundbar - Model: 418775 - Free Shipping.: https://www.ebay.com/itm/157737256520",
5623409000001815799,21-14366-23757,2026-03-18,to_be_received,to_be_billed,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Tracking: 1ZJE07220333144063
Item Links:
- Bose Soundbar Bundle 600 and Bass Module 500 Kit (Black Soundbar): https://www.ebay.com/itm/137144280101
Source: EBAY_PURCHASING_API",
5623409000001815686,25-14360-62506,2026-03-18,to_be_received,to_be_billed,2026-03-25,"KAI 3/25 2:14 Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 9434608106245951999745
Item Links:
- Bose Double Cube Black Surround/Satellite Speakers Set Lot of 7: https://www.ebay.com/itm/397674612057
Source: EBAY_PURCHASING_API",
5623409000001815181,10-14382-00811,2026-03-18,to_be_received,to_be_billed,,"Imported via eBay GetOrders (Buyer) (ebay_mekong).
Source: EBAY_BUYING_API
Tracking: 1Z78Y5W70395657569
Item Links:
- Bose Soundbar 500 Smart Soundbar - Model 424096 - Free shipping: https://www.ebay.com/itm/406773310633
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API",
5623409000001815082,14-14376-40763,2026-03-18,to_be_received,to_be_billed,2026-03-24,"KAI 3/24 12:14
https://www.ebay.com/itm/406770707208
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 1Z78Y5W70394305119
Bose Solo TV Sound System Soundbar - Model: 418775 - Free Shipping.: https://www.ebay.com/itm/406770707208",
5623409000001814001,21-14365-85931,2026-03-18,to_be_received,to_be_billed,2026-03-25,"KAI 3/25 9:50
https://www.ebay.com/itm/336485440220
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434608106245953743476
Bose Companion 2 Series III Multimedia Computer PC Laptop Speakers Tested!: https://www.ebay.com/itm/336485440220",
5623409000001807515,11-14380-56357,2026-03-18,to_be_received,to_be_billed,,"Imported via eBay GetOrders (Buyer) (ebay_mekong).
Source: EBAY_BUYING_API
Tracking: 9434608106245952084921
Item Links:
- BOSE 251 ENVIRONMENTAL SPEAKERS OUTDOOR EQUIPMENT NICE: https://www.ebay.com/itm/117034142756
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API",
5623409000001807406,24-14376-56161,2026-03-18,to_be_received,to_be_billed,2026-03-23,"kai 3/23 2:55
https://www.ebay.com/itm/168242560509
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 61299998825433899931
Bose Companion 2 Series III Multimedia PC Laptop Speakers: https://www.ebay.com/itm/168242560509",
